Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Monthly_Return
2018-01-01,235.77999877929688,259.7699890136719,232.80999755859375,250.5,202.69871520996094,49095800.0,MMM,
2018-02-01,247.44000244140625,250.08999633789062,218.17999267578125,235.50999450683594,190.5691375732422,58411400.0,MMM,-0.05984042683326629
2018-03-01,236.14999389648438,243.10000610351562,214.72999572753906,219.52000427246094,178.6778564453125,55656900.0,MMM,-0.062398777049402665
2018-04-01,218.0500030517578,221.69000244140625,194.17999267578125,194.38999938964844,158.22332763671875,67396900.0,MMM,-0.11447713340379262
2018-05-01,194.02999877929688,206.0399932861328,191.44000244140625,197.22999572753906,160.5349578857422,64993100.0,MMM,0.0146099205695569
2018-06-01,198.75,206.7899932861328,193.63999938964844,196.72000122070312,161.21493530273438,52817200.0,MMM,0.004235696859721694
2018-07-01,195.4600067138672,212.77999877929688,190.57000732421875,212.32000732421875,173.9993438720703,51342100.0,MMM,0.07930039822507129
2018-08-01,210.97999572753906,211.72000122070312,197.11000061035156,210.9199981689453,172.85206604003906,39291800.0,MMM,-0.006593575622186099
2018-09-01,210.5500030517578,217.8699951171875,205.89999389648438,210.7100067138672,173.83738708496094,45069500.0,MMM,0.005700371812123128
2018-10-01,212.39999389648438,217.33999633789062,181.97999572753906,190.25999450683594,156.96595764160156,67294100.0,MMM,-0.09705293968272577
2018-11-01,190.61000061035156,209.77000427246094,190.08999633789062,207.9199981689453,171.53562927246094,51077500.0,MMM,0.09282058256304282
2018-12-01,211.2100067138672,211.9499969482422,176.8699951171875,190.5399932861328,158.27049255371094,51330100.0,MMM,-0.07733167024840149
2019-01-01,187.82000732421875,200.88999938964844,182.88999938964844,200.3000030517578,166.37754821777344,53042200.0,MMM,0.051222786593093206
2019-02-01,201.49000549316406,211.58999633789062,196.25,207.38999938964844,172.26681518554688,36859800.0,MMM,0.035397005370369605
2019-03-01,208.80999755859375,210.5399932861328,198.0,207.77999877929688,173.78399658203125,47486500.0,MMM,0.008807159956200739
2019-04-01,209.88999938964844,219.75,186.5500030517578,189.50999450683594,158.5032501220703,54909300.0,MMM,-0.0879295375897744
2019-05-01,189.49000549316406,189.7100067138672,159.6300048828125,159.75,133.6124267578125,94604800.0,MMM,-0.15703667492678097
2019-06-01,159.75,174.55999755859375,159.32000732421875,173.33999633789062,146.21937561035156,56451600.0,MMM,0.09435461325308148
2019-07-01,175.4600067138672,187.72000122070312,164.2899932861328,174.72000122070312,147.38348388671875,62576900.0,MMM,0.007961381803936352
2019-08-01,174.7899932861328,177.6699981689453,154.0,161.72000122070312,136.41741943359375,63267800.0,MMM,-0.07440497512973498
