Date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other,BTC Returns,ETH Returns,XRP Returns
2017-12-27,-0.43,-0.17,0.14,-0.67,-0.08,0.53,-0.72,0.49,-0.36,0.51,-0.24,0.35,9.58500170285845,16.620214263694972,6.04973344882586
2017-12-28,0.43,-0.02,0.33,0.83,0.38,0.19,-0.58,0.95,0.06,0.45,0.38,0.03,2.8257970059188198,26.45807079346558,48.4125286000614
2017-12-29,-0.32,0.56,-0.48,-0.5,-0.25,-0.72,-0.48,-0.3,-0.65,-0.89,-0.68,-0.36,-5.78339371638675,7.880496345654279,26.10743966230613
2018-01-02,0.76,0.62,1.07,2.76,1.11,1.4,1.05,-0.44,1.4,2.84,-0.01,1.05,0.9495300439305,-0.98909731386682,83.47079266297872
2018-01-03,-0.41,0.57,0.32,2.53,0.11,0.97,-0.24,-0.42,0.2,0.91,0.3,0.37,6.89990576325163,-1.6337625608002102,-12.50568364930389
2018-01-04,0.26,0.93,0.71,0.85,0.8,0.75,0.16,-0.49,-0.17,0.61,0.46,2.0,10.11187706769949,1.71831700314499,0.3254533203979
2018-01-05,0.19,1.12,0.46,-0.39,0.91,0.94,-0.11,-0.38,0.05,0.48,0.46,0.25,-1.82895977017769,3.4136289166496,-3.9908151391183804
2018-01-08,0.22,0.07,0.36,0.4,-0.19,0.36,0.2,0.88,0.16,-0.94,-0.22,0.38,-0.13897831550526,10.37119989962758,6.87030409443438
2018-01-09,-0.18,-0.88,-0.63,0.01,-0.45,-0.48,-0.81,-1.09,-0.59,0.73,0.33,-0.63,-6.99741582000456,4.04935256935308,1.65081333116683
2018-01-10,-0.31,-0.45,-0.24,-0.26,0.05,0.19,0.24,-1.44,0.18,0.42,0.82,0.01,-6.480953495347549,-0.93575040002457,-1.93274772525082
2018-01-11,0.93,1.47,1.76,3.08,1.87,1.59,1.53,0.31,2.03,1.34,1.45,1.97,-4.9426707292645,0.24136534498565998,53.75197910422356
2018-01-12,-0.07,1.1,0.31,0.86,0.05,0.53,0.83,-0.51,0.74,-0.12,0.34,0.52,-12.473030502089639,-17.80655138721301,-4.59155487153272
2018-01-16,-0.6,-1.36,-1.07,-2.44,-0.91,-1.02,-1.32,-0.48,-0.96,-1.74,-0.73,-1.25,6.27105946350556,6.59796691768928,3.16793535377231
2018-01-17,0.74,0.33,0.7,0.9,0.02,0.67,0.18,0.93,0.29,0.57,0.66,0.54,-5.26151341806769,-3.5084054663847897,-11.10326199833154
2018-01-18,-0.07,-0.84,-0.72,-1.28,-0.92,-0.21,-0.2,-0.98,-0.16,-0.06,-0.52,-0.29,0.72383494019188,10.32718859121593,7.50707382320574
2018-01-19,2.47,1.36,1.06,0.14,0.98,0.69,0.73,0.35,1.49,1.1,1.0,0.98,14.78049030448427,1.04487582471111,5.98491529685003
2018-01-22,-0.01,0.04,-0.12,1.66,-0.12,-0.09,1.13,0.36,0.44,1.84,-0.03,0.39,-1.6230003345222999,-1.42071686707503,17.66723641070278
2018-01-23,0.43,-0.25,0.17,0.61,-0.09,0.25,-1.05,0.81,-0.14,0.64,0.19,0.42,-7.77851437951826,-3.3845764134825798,2.23200160190362
2018-01-24,-0.72,0.2,-0.22,-0.68,-0.25,-0.81,0.07,-0.39,-0.38,-0.49,-0.49,-0.2,0.34026081068359,2.24809395311205,54.771900004757114
2018-01-25,0.16,-0.6,0.18,-1.51,0.37,0.02,-0.03,0.77,-0.01,0.82,-0.12,-0.11,-11.626478741365661,-4.82156948358735,-2.50971448552683
2018-01-26,0.42,0.81,0.31,-0.18,-0.1,0.91,0.91,-0.4,0.45,0.72,0.17,0.48,9.29726360891418,5.5037387017989605,6.55621844903244
2018-01-29,-0.65,-0.97,-0.78,-2.12,-1.04,-0.78,-0.8,-1.27,-0.82,0.02,-0.58,-1.24,-3.52632153328392,2.10219729087335,3.93207168610332
2018-01-30,-0.74,-1.5,-1.0,-2.52,-1.08,-0.97,-0.6,-0.37,-1.28,-1.58,-0.46,-1.14,9.70110560814097,14.470236473009221,3.75863010057029
2018-01-31,-0.25,-0.96,-0.97,-0.51,-0.48,-0.28,-0.62,0.45,-1.1,-1.19,-0.35,-0.34,1.4610795304552802,8.85030636827819,25.171106578743903
2018-02-01,-0.33,0.15,-0.31,1.01,-0.5,0.05,-0.12,-1.1,-0.26,-0.23,0.68,0.1,2.6195657872015,1.8906875229661502,2.93877879434614
2018-02-02,-1.74,-2.18,-2.56,-4.1,-2.69,-1.98,-1.84,-1.16,-2.52,-2.14,-1.32,-2.35,11.73329261610154,1.71246782955041,-4.6273698618653
2018-02-05,-3.05,-3.6,-3.64,-2.77,-3.35,-3.33,-3.33,-2.48,-3.18,-3.19,-3.14,-3.21,0.55939642560027,4.40605423351729,1.48456071403182
2018-02-06,0.9,1.59,0.77,1.15,0.51,1.09,0.71,-0.46,1.29,1.25,0.63,0.7,-5.9873360565128,10.702901513492261,9.17397180607519
2018-02-07,0.95,0.72,0.11,-2.65,-0.94,0.03,0.0,-0.42,0.25,0.8,0.38,0.04,-7.93501499609259,-0.40237037658060004,-27.28395330121018
2018-02-08,-2.12,-2.7,-2.51,-4.12,-2.3,-2.6,-2.42,-1.42,-2.16,-3.05,-2.27,-2.83,-3.78836812907175,13.16552089021738,-14.429954074371881
2018-02-09,0.84,0.29,0.45,-0.3,0.52,0.58,0.01,2.29,0.96,-0.11,1.04,0.14,2.5891678470515602,-3.37914077240883,-6.0358318707586305
2018-02-12,0.63,0.79,0.83,2.37,1.57,1.25,1.49,0.46,0.57,1.41,0.49,0.91,-10.4686343053739,-8.03378644177883,-1.22131995076907
2018-02-13,0.56,-0.19,0.07,-0.57,0.05,0.69,0.78,-0.03,0.32,0.55,0.36,0.78,4.28769497577097,10.2404381183883,4.7380622049099905
2018-02-14,1.32,1.47,1.97,2.81,1.43,1.88,1.05,-0.56,1.41,1.31,1.45,1.39,2.7151953173950303,9.67798440928493,-1.07086080536503
2018-02-15,0.74,0.17,0.75,-0.03,1.39,1.41,1.43,1.87,1.25,0.67,0.55,0.39,-4.0960445349815,-2.12328837176327,-7.923415186038101
2018-02-16,-0.03,-0.08,0.54,-0.49,-0.1,-0.05,0.11,0.54,0.1,-0.04,0.53,0.45,0.34707961579654,-5.476413333357151,-9.91085963927144
2018-02-20,-1.27,-0.63,-0.96,-0.55,-0.03,-0.03,-0.53,-1.34,-1.46,-0.87,-0.94,-1.07,-16.85480135462911,-18.44000359430501,-29.670253261346918
2018-02-21,-0.2,0.71,0.28,-1.49,-0.11,0.15,-0.94,-1.05,0.17,0.35,0.59,0.05,-2.62739124167791,-3.74303102425117,10.77812761633378
2018-02-22,-0.41,-0.45,0.14,1.95,0.58,-0.27,-1.21,0.76,-0.4,-0.28,-0.81,-0.25,2.55886162027021,2.17205120008627,22.217803480698862
2018-02-23,1.05,0.9,0.95,2.17,1.22,1.16,2.01,2.26,1.14,1.11,0.96,0.89,1.15469411924702,0.27212203355647996,-2.78908875655524
2018-02-26,0.38,0.64,0.65,0.29,0.37,0.91,1.43,-0.37,0.4,0.97,0.57,0.82,11.1291052364391,11.168323698851559,1.71192697375843
2018-02-27,-0.94,-1.85,-1.49,-2.42,-1.23,-1.13,-1.47,-1.62,-1.46,-0.94,-0.9,-1.42,-10.07117159410849,-9.13907857232001,-12.57933592822581
2018-02-28,-1.16,-1.25,-1.85,-2.94,-2.23,-0.8,-1.67,-1.26,-1.19,-0.88,-1.19,-1.3,-5.76459893680196,-4.41318891637151,-1.64415936782904
2018-03-01,-0.35,-0.88,-0.23,0.51,0.04,-0.7,-0.24,0.13,-0.49,-0.49,0.03,-0.36,-0.5763214020962001,-1.6975665025613498,-1.49408801489723
