Date,BTC-USD,ETH-USD,XRP-USD,BNB-USD,USDT-USD
2018-01-02,0.09258925971214141,0.13514465974787557,0.03689715135555497,0.04906516471226789,-0.002365608057319231
2018-01-03,0.014505086054969111,0.08480341627994366,0.22451146791948892,0.07602690100173287,0.008462484313826811
2018-01-04,0.025858428248031667,0.018730361673503358,0.0289642448899301,-0.03433853150308194,-0.01082371338483523
2018-01-05,0.11094452953729485,0.016979703746571463,-0.047378544523011636,0.4817919113753876,-0.0038937368474235637
2018-01-06,0.005578376143830052,0.043117478521551726,0.014736489731865322,0.4224809044597564,0.01031683254574997
2018-01-07,-0.061740689989334026,0.10167986398366087,0.08777249548780147,-0.19878516574121957,-0.007381124238715541
2018-01-08,-0.08267549955484522,-0.004031820642391285,-0.31860810092458003,-0.021448465000816284,0.007708102061712161
2018-01-09,-0.03861992220665626,0.12368134760985788,-0.1558348948558282,-0.047614029877291804,-0.003304697782306236
2018-01-10,0.025562164635524222,-0.034375534046981966,-0.062256666503960806,-0.001206801243390784,-0.004693027778621625
2018-01-11,-0.11058116741362263,-0.083748920321997,-0.012288393495455827,0.1906123396524752,0.0004294650714391414
2018-01-12,0.04198319183702074,0.09749359549276614,0.04629240168876253,0.05876363021443307,0.004353025808363917
2018-01-13,0.026789878301525787,0.09237847208475351,-0.010766357846834775,-0.006378842804363422,-0.00404365863191924
2018-01-14,-0.04182295922437422,-0.021461543929788246,-0.08254951159806487,-0.06507744632264785,0.013973446118989643
2018-01-15,0.0034647868456980165,-0.05632078827587458,-0.10437055737572323,-0.06013415910352671,-0.00939317689142772
2018-01-16,-0.18458172530715178,-0.2038312843512961,-0.3519753367175448,-0.34242093879797947,0.026981604325763794
2018-01-17,-0.02662523913776235,-0.038148810498464185,0.10235916465360834,0.02216137431748886,-0.01915444216551417
2018-01-18,0.025266707476315743,0.021487982757907594,0.2006345414688668,0.005420671774428751,0.008421644087835845
2018-01-19,0.011480784055017625,0.002717524518743902,-0.028287225230889945,0.045194378928721246,-0.018317347406879698
2018-01-20,0.10552244967375776,0.10587529642513221,0.016974386234947555,0.08032993072824293,-0.00342034987326318
2018-01-21,-0.10615162399161542,-0.09584018452753812,-0.13443850024484783,-0.14048823977252664,-0.0012483498401486331
2018-01-22,-0.05937426753876515,-0.04513533482427692,-0.016578256722404226,-0.07785226810153796,0.005166398711185252
